,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(14, 18)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 19)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 21)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(14, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(14, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 15)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 16)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 17)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(15, 18)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 19)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 21)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(15, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(15, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 16)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 17)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(16, 18)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 19)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 21)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(16, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(17, 17)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 18)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 19)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 20)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 21)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 22)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 23)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 24)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 25)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 26)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 27)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 28)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 29)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 30)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 31)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 32)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 33)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 34)",0.1779295470884256,1.7307692307692308,1.0,0.1779295470884256,1.0,1.7307692307692308,0.1779295470884256,0.1779295470884256
"(17, 35)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(17, 36)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(18, 18)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 19)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 21)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(18, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 19)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 21)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(19, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(19, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 21)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(20, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(20, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 21)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(21, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(21, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 22)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(22, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(22, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 23)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(23, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(23, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 24)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(24, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(24, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 25)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(25, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(25, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 26)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(26, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(26, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 27)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(27, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(27, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 28)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(28, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(28, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(29, 29)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(29, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(29, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(29, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(29, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(29, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(29, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(29, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(30, 30)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(30, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(30, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(30, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(30, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(30, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(30, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(31, 31)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(31, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(31, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(31, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(31, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(31, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 32)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(32, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(33, 33)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(33, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(33, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(33, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(34, 34)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(34, 35)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(34, 36)",1.416083916083916,1.7307692307692308,1.0,1.416083916083916,1.0,1.7307692307692308,1.416083916083916,1.416083916083916
"(35, 35)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(35, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(36, 36)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
