Genetic Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,fos,,jun,,CDK4,,31,,ConvexSum
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,p53,,p53,,p53,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p16INK4a,,CCND1,,PCNA,,p21,,p16INK4a,,fos,,PCNA,,p16INK4a,,p16INK4a,,fos,,jun,,jun,,jun,,fos,,CDK4,,fos,,jun,,30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p53,,CDK4,,p53,,CDK4,,CCND1,,CCND1,,CDK4,,p15,,p21,,p15,,p15,,p21,,PCNA,,PCNA,,p15,,p21,,CCND1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCL-XL,,NFKB,,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mcl1,,Mcl1,,,,